"LOCATION"	"TIME"	"inflation"	"unempr"
"Belgium"	"2020-01"	1.405195	5.2
"Belgium"	"2020-02"	1.096572	5.1
"Belgium"	"2020-03"	0.6247129	5.1
"Belgium"	"2020-04"	0.5692774	5.2
"Belgium"	"2020-05"	0.4773708	5.4
"Belgium"	"2020-06"	0.5970423	5.7
"Belgium"	"2020-07"	0.7342144	6.2
"Belgium"	"2020-08"	0.8169635	6.5
"Belgium"	"2020-09"	0.9037256	6.4
"Belgium"	"2020-10"	0.74428	6
"Belgium"	"2020-11"	0.5142332	6
"Belgium"	"2020-12"	0.4126926	6.2
"Belgium"	"2021-01"	0.2552648	6.6
"Belgium"	"2021-02"	0.455747	6.8
"Belgium"	"2021-03"	0.8947321	6.7
"Belgium"	"2021-04"	1.232539	6.4
"Belgium"	"2021-05"	1.461855	6.3
"Belgium"	"2021-06"	1.625274	6.2
"Belgium"	"2021-07"	2.268586	6.2
"Belgium"	"2021-08"	2.731494	6.3
"Belgium"	"2021-09"	2.860537	6.2
"Belgium"	"2021-10"	4.159066	6
"Belgium"	"2021-11"	5.636762	5.8
"Belgium"	"2021-12"	5.708284	5.6
"France"	"2020-01"	1.485293	8.2
"France"	"2020-02"	1.426354	7.8
"France"	"2020-03"	0.6737896	7.5
"France"	"2020-04"	0.326233	7.6
"France"	"2020-05"	0.3642289	7.1
"France"	"2020-06"	0.2008032	7.5
"France"	"2020-07"	0.7760108	8.5
"France"	"2020-08"	0.2193401	8.9
"France"	"2020-09"	0.04784689	8.9
"France"	"2020-10"	0.04786521	8.3
"France"	"2020-11"	0.2009185	8.1
"France"	"2020-12"	-0.01905125	7.9
"France"	"2021-01"	0.5548115	8
"France"	"2021-02"	0.5644313	8.2
"France"	"2021-03"	1.109093	8.2
"France"	"2021-04"	1.243305	8.2
"France"	"2021-05"	1.422978	8.1
"France"	"2021-06"	1.479149	8
"France"	"2021-07"	1.150299	7.9
"France"	"2021-08"	1.865068	7.8
"France"	"2021-09"	2.161645	7.7
"France"	"2021-10"	2.621759	7.5
"France"	"2021-11"	2.778574	7.4
"France"	"2021-12"	2.75343	7.4
"Germany"	"2020-01"	1.740812	3.2
"Germany"	"2020-02"	1.734104	3.3
"Germany"	"2020-03"	1.439539	3.4
"Germany"	"2020-04"	0.8555133	3.5
"Germany"	"2020-05"	0.5692599	3.6
"Germany"	"2020-06"	0.8514664	3.7
"Germany"	"2020-07"	-0.09416196	3.8
"Germany"	"2020-08"	0	3.9
"Germany"	"2020-09"	-0.1886792	3.9
"Germany"	"2020-10"	-0.1885014	3.9
"Germany"	"2020-11"	-0.2849003	3.9
"Germany"	"2020-12"	-0.2835539	3.9
"Germany"	"2021-01"	1.045627	3.9
"Germany"	"2021-02"	1.325758	3.9
"Germany"	"2021-03"	1.702933	3.8
"Germany"	"2021-04"	1.979265	3.8
"Germany"	"2021-05"	2.54717	3.7
"Germany"	"2021-06"	2.345216	3.6
"Germany"	"2021-07"	3.770028	3.5
"Germany"	"2021-08"	3.867924	3.5
"Germany"	"2021-09"	4.064272	3.4
"Germany"	"2021-10"	4.532578	3.3
"Germany"	"2021-11"	5.238095	3.3
"Germany"	"2021-12"	5.308057	3.2
"Italy"	"2020-01"	0.4882813	9.6
"Italy"	"2020-02"	0.2926829	9.6
"Italy"	"2020-03"	0.09727626	7.8
"Italy"	"2020-04"	0	7.5
"Italy"	"2020-05"	-0.1941748	8.7
"Italy"	"2020-06"	-0.1939864	9.6
"Italy"	"2020-07"	-0.3879728	10.1
"Italy"	"2020-08"	-0.4830918	9.9
"Italy"	"2020-09"	-0.5830904	10
"Italy"	"2020-10"	-0.2918288	10
"Italy"	"2020-11"	-0.1949318	9.5
"Italy"	"2020-12"	-0.1945525	9.8
"Italy"	"2021-01"	0.3887269	10.2
"Italy"	"2021-02"	0.5836576	10.2
"Italy"	"2021-03"	0.7774538	10.1
"Italy"	"2021-04"	1.067961	10.2
"Italy"	"2021-05"	1.264591	9.8
"Italy"	"2021-06"	1.263363	9.4
"Italy"	"2021-07"	1.94742	9.1
"Italy"	"2021-08"	2.038835	9.1
"Italy"	"2021-09"	2.541544	9.1
"Italy"	"2021-10"	3.02439	9.2
"Italy"	"2021-11"	3.710938	9
"Italy"	"2021-12"	3.898635	8.8
"Poland"	"2020-01"	4.3	2.9
"Poland"	"2020-02"	4.7	2.9
"Poland"	"2020-03"	4.6	2.9
"Poland"	"2020-04"	3.4	3.1
"Poland"	"2020-05"	2.9	3.2
"Poland"	"2020-06"	3.3	3.4
"Poland"	"2020-07"	3	3.5
"Poland"	"2020-08"	2.9	3.5
"Poland"	"2020-09"	3.2	3.4
"Poland"	"2020-10"	3.1	3.3
"Poland"	"2020-11"	3	3.3
"Poland"	"2020-12"	2.4	3.4
"Poland"	"2021-01"	2.6	3.5
"Poland"	"2021-02"	2.4	3.7
"Poland"	"2021-03"	3.2	3.7
"Poland"	"2021-04"	4.3	3.7
"Poland"	"2021-05"	4.7	3.6
"Poland"	"2021-06"	4.4	3.4
"Poland"	"2021-07"	5	3.3
"Poland"	"2021-08"	5.5	3.2
"Poland"	"2021-09"	5.9	3.1
"Poland"	"2021-10"	6.8	3.1
"Poland"	"2021-11"	7.8	3.1
"Poland"	"2021-12"	8.6	3
"Spain"	"2020-01"	1.096945	13.9
"Spain"	"2020-02"	0.730897	13.6
"Spain"	"2020-03"	-0.01758578	14.5
"Spain"	"2020-04"	-0.7168899	15.2
"Spain"	"2020-05"	-0.915837	15.4
"Spain"	"2020-06"	-0.3417964	15.9
"Spain"	"2020-07"	-0.6198964	16.2
"Spain"	"2020-08"	-0.5192718	16.4
"Spain"	"2020-09"	-0.3698781	16.4
"Spain"	"2020-10"	-0.8091754	16.3
"Spain"	"2020-11"	-0.8149378	16.2
"Spain"	"2020-12"	-0.5321318	16.2
"Spain"	"2021-01"	0.457077	15.8
"Spain"	"2021-02"	-0.01649076	15.6
"Spain"	"2021-03"	1.341928	15.4
"Spain"	"2021-04"	2.229122	15.5
"Spain"	"2021-05"	2.717201	15.5
"Spain"	"2021-06"	2.732454	15.4
"Spain"	"2021-07"	2.881537	15.1
"Spain"	"2021-08"	3.301745	14.6
"Spain"	"2021-09"	4.007239	14.2
"Spain"	"2021-10"	5.366842	13.7
"Spain"	"2021-11"	5.516243	13.4
"Spain"	"2021-12"	6.549901	13.3
